"id","name","rgb"
-1,"[Unknown]","#0033B2"
0,"Black","#05131D"
1,"Blue","#0055BF"
2,"Green","#237841"
3,"Dark Turquoise","#008F9B"
4,"Red","#C91A09"
5,"Dark Pink","#C870A0"
6,"Brown","#583927"
7,"Light Gray","#9BA19D"
8,"Dark Gray","#6D6E5C"
9,"Light Blue","#B4D2E3"
10,"Bright Green","#4B9F4A"
11,"Light Turquoise","#55A5AF"
12,"Salmon","#F2705E"
13,"Pink","#FC97AC"
14,"Yellow","#F2CD37"
15,"White","#FFFFFF"
17,"Light Green","#C2DAB8"
18,"Light Yellow","#FBE696"
19,"Tan","#E4CD9E"
20,"Light Violet","#C9CAE2"
21,"Glow In Dark Opaque","#D4D5C9"
22,"Purple","#81007B"
23,"Dark Blue-Violet","#2032B0"
25,"Orange","#FE8A18"
26,"Magenta","#923978"
27,"Lime","#BBE90B"
28,"Dark Tan","#958A73"
29,"Bright Pink","#E4ADC8"
30,"Medium Lavender","#AC78BA"
31,"Lavender","#E1D5ED"
32,"Trans-Black IR Lens","#635F52"
33,"Trans-Dark Blue","#0020A0"
34,"Trans-Green","#84B68D"
35,"Trans-Bright Green","#D9E4A7"
36,"Trans-Red","#C91A09"
40,"Trans-Black","#635F52"
41,"Trans-Light Blue","#AEEFEC"
42,"Trans-Neon Green","#F8F184"
43,"Trans-Very Lt Blue","#C1DFF0"
45,"Trans-Dark Pink","#DF6695"
46,"Trans-Yellow","#F5CD2F"
47,"Trans-Clear","#FCFCFC"
52,"Trans-Purple","#A5A5CB"
54,"Trans-Neon Yellow","#DAB000"
57,"Trans-Neon Orange","#FF800D"
60,"Chrome Antique Brass","#645A4C"
61,"Chrome Blue","#6C96BF"
62,"Chrome Green","#3CB371"
63,"Chrome Pink","#AA4D8E"
64,"Chrome Black","#1B2A34"
68,"Very Light Orange","#F3CF9B"
69,"Light Purple","#CD6298"
70,"Reddish Brown","#582A12"
71,"Light Bluish Gray","#A0A5A9"
72,"Dark Bluish Gray","#6C6E68"
73,"Medium Blue","#5A93DB"
74,"Medium Green","#73DCA1"
75,"Speckle Black-Copper","#05131D"
76,"Speckle DBGray-Silver","#6C6E68"
77,"Light Pink","#FECCCF"
78,"Light Flesh","#F6D7B3"
79,"Milky White","#FFFFFF"
80,"Metallic Silver","#A5A9B4"
81,"Metallic Green","#899B5F"
82,"Metallic Gold","#DBAC34"
84,"Medium Dark Flesh","#CC702A"
85,"Dark Purple","#3F3691"
86,"Dark Flesh","#7C503A"
89,"Royal Blue","#4C61DB"
92,"Flesh","#D09168"
100,"Light Salmon","#FEBABD"
110,"Violet","#4354A3"
112,"Blue-Violet","#6874CA"
