"set_num","name","year","theme_id"
"700.3-1","Medium Gift Set (ABB)",1949,365
"700.1.1-1","Single 2 x 4 Brick (ABB)",1950,371
"700.B.2-1","Single 1 x 2 x 3 Window without Glass (ABB)",1950,371
"700.1-2","Extra-Large Gift Set (Mursten)",1953,366
"700.F-1","Automatic Binding Bricks - Small Brick Set (Lego Mursten)",1953,371
"700.24-1","Individual 2 x 12 Bricks",1954,371
"700.C.1-1","Individual 1 x 6 x 4 Panorama Window (with glass)",1954,371
"700.C.4-1","Individual 1 x 4 x 3 Window (with glass)",1954,371
"700.H-1","Individual 4 x 4 Corner Bricks",1954,371
"1200-1","LEGO Town Plan Board, Large Plastic",1955,372
"1212-2","Small House - Left Set",1955,372
"1215-2","2 x 8 & 2 x 10 Bricks",1955,371
"1218-2","2 x 3 Bricks",1955,371
"1221-2","1 x 1 Bricks",1955,371
"1224-2","8 Named Beams",1955,371
"1225-2","Mixed Plates Parts Pack",1955,371
"1236-2","Garage",1955,372
"1247-2","Esso Pumps/Sign",1955,371
"b55dk-01","Lego Mursten - System i Leg Byggebog",1955,497
"1227-2","4 x 8 & 2 x 8 Plates",1956,371
"1231-3","Windows and Door with Glass, White",1956,371
"215-4","2 x 8 Mursten Bricks (EUR)",1956,371
"236-1","Garage with Automatic Door (White base and door frame)",1956,372
"1223-3","2 x 2 Curved Bricks",1957,371
"1245-2","Lighting Device Pack",1957,371
"1307-1","VW Auto Showroom",1957,372
"200-3","LEGO Town Plan Board, Plastic",1957,372
"236-2","Garage and Van",1957,372
"700.2-2","Gift Package",1957,366
"700GP6-2","Gift Package",1957,372
"211-2","Small House Set",1958,372
"214-2","Ten Windows and Doors, Red",1958,371
"215-2B","2 x 8 Bricks, Blue (EUR/UK/AUS)",1958,371
"215-2Y","2 x 8 Bricks, Yellow (EUR/UK/AUS)",1958,371
"218-2","2 x 4 Bricks",1958,371
"221-2","1 x 2 Bricks",1958,371
"224-3","2 x 2 Curved Bricks",1958,371
"227-1","4 x 8 Curved & 2 x 8 Plates",1958,371
"230-2","Six Trees and Bushes",1958,371
"234-1","Letter Bricks",1958,371
"242-2","5 Danish Flags",1958,371
"271-2","Traffic Police Set",1958,372
"282-1","2 x 2 Sloping Roof Bricks, Red",1958,371
"307-2","VW Auto Showroom",1958,372
"310-5","ESSO Filling Station",1958,372
"281-1","1 x 2 and 3 x 2 Sloping Bricks, Red",1959,371
"237-1","Number Bricks",1960,371
"214.1-1","1 x 6 x 3 Window with Frame",1961,371
"214.3-1","1 x 6 x 2 Double-Pane Window in Frame w/Shutters",1961,371
"214.6-1","1 x 2 x 2 Window in Frame",1961,371
"214.9-1","1 x 1 x 1 Window Frame",1961,371
"215-3R","2 x 8 Bricks, Red (USA/CAN)",1961,371
"238-2","Lego System Idea Book (by Samsonite)",1961,497
"311-4","Airplanes",1961,374
"810-2","Town Plan - Continental European",1961,372
"229.1-1","2 x 8 Plates",1962,371
"518-1","2 x 4 Plates (cardboard box version)",1962,371
"518-12","2 x 4 Plates - Red (architectural hobby und modelbau version)",1962,252
"518-15","2 x 4 Plates - Yellow (architectural hobby und modelbau version)",1962,252
"519-10","2 x 3 Plates - Blue (architectural hobby und modelbau version)",1962,252
"519-13","2 x 3 Plates - Trans-Clear (architectural hobby und modelbau version)",1962,252
"519-9","2 x 3 Plates - Black (architectural hobby und modelbau version)",1962,252
"520-11","2 x 2 Plates - Light Gray (architectural hobby und modelbau version)",1962,252
"520-14","2 x 2 Plates - White (architectural hobby und modelbau version)",1962,252
"520-3","2 x 2 Plates - Green (cardboard box version)",1962,371
"521-1","1 x 1 and 1 x 2 Plates (cardboard box version)",1962,371
"521-12","1 x 1 and 1 x 2 Plates - Red (architectural hobby und modelbau version)",1962,252
"521-15","1 x 1 and 1 x 2 Plates - Yellow (architectural hobby und modelbau version)",1962,252
"238-5","Lego System Ideas Book no. 2",1963,497
"242.1-1","6 International Flags -1-",1963,371
"314-2","Large & Small Wheels & Turn-Table",1963,379
"317-1","Truck",1963,378
"400-4","Small Wheels with Axles (System)",1963,371
"520-6","2 x 2 Plates - Trans-Clear (cardboard box version)",1963,371
"905-1","Doll Set",1963,365
"238-8","Lego System Ideas Book No. 3",1964,497
"304-2","Tractor & Trailer",1964,375
"323-1","Train",1964,380
"402-2","White Turntables",1964,371
"802-3","Player Piano",1964,365
"805-2","3 Little Indians",1964,365
"002-1","4.5V Samsonite Gears Motor Set",1965,1
"319-1","Truck with Trailer",1965,378
"326-1","Small Cottage",1965,367
"510-2","Tiles",1965,371
"021-1","Wheel Set",1966,366
"052-1","Assorted Basic Bricks - White",1966,371
